file,Jaro,Winkler,Levenshtein,Ratcliff_Obershelp,Fuzzy,Damerau-Levenshtein,LCSubstring,LCSubsequence
1,61.2865711,65,37.3947221,12.128018,61,45.0870298,88.11881188,37.39472207
1,61.3355829,65,33.6548767,4.9303323,52,42.926045,86.33663366,33.65487674
1,75.7077312,78,57.2825024,33.431085,71,69.9902248,84.75247525,57.28250244
0,60.4000498,65,27.8093572,5.2027544,43,57.7464789,67.52475248,28.10428635
0,72.4329443,60,28.8164666,1.3090909,35,33.497335,76.83168317,30.19057172
0,73.0050211,68,36.3188168,1.9748654,43,58.8124411,52.07920792,34.32455395
1,61.2865711,65,37.3947221,5.1656373,61,45.0870298,69.43573668,37.39472207
1,77.6582667,80,41.9416003,4.6264695,59,60.523322,76.80250784,41.9416003
1,60.7619811,65,37.6811594,8.8071349,57,45.039019,68.02507837,37.68115942
0,66.3981063,74,36.8217054,9.3137255,48,54.5287074,79.31034483,33.43495935
0,73.2716831,60,36.9455876,3.5822708,45,53.5292423,72.64890282,35.99828987
0,70.9085907,73,36.2162162,3.8022814,25,52.2793404,50.15673981,36.0410831
1,61.3355829,65,33.6548767,6.5380493,52,42.926045,65.02571639,33.65487674
1,77.6582667,80,41.9416003,4.4747819,59,60.523322,77.8104335,41.9416003
1,59.653467,64,34.8057477,7.9829697,52,43.5337946,67.0095518,34.80574774
0,76.9187229,80,38.4290815,2.5699862,39,58.6568323,61.64584864,33.04093567
0,71.8097005,62,37.9027164,1.3506494,35,58.3164983,70.095518,37.25663717
0,65.2462548,65,29.1028446,2.9801325,48,38.9195149,55.25349008,33.46303502
1,75.7077312,78,57.2825024,7.6246334,71,69.9902248,79.92277992,57.28250244
1,60.7619811,65,37.6811594,8.1382386,57,45.039019,81.08108108,37.68115942
1,59.653467,64,34.8057477,4.2575838,52,43.5337946,79.92277992,34.80574774
0,68.7863274,60,21.7447917,2.526003,45,54.2955326,61.58301158,12.55827506
0,59.4280799,59,33.5143522,2.9363785,25,50.952717,70.07722008,35.4969574
0,69.1076246,69,34.0040241,4.6575342,43,57.4123989,55.40540541,25.57114228
1,67.0670387,70,45.112782,20.3007519,67,54.5112782,77.72420444,45.11278195
1,82.8832037,85,96.3740458,93.8931298,98,96.9942748,98.7463838,96.3740458
1,81.8284961,89,95.1276102,94.7563805,99,95.5916473,99.13211186,95.12761021
0,53.5351337,70,38.5981757,3.7129955,44,39.1733208,78.20636451,33.94877904
0,65.0929907,74,38.4009009,2.6829842,30,52.5222552,88.33172613,37.20491029
0,55.9056871,71,34.928527,2.2606383,47,53.6172695,55.93056895,29.64008469
1,67.0670387,70,45.112782,26.1904762,67,54.5112782,82.4686941,45.11278195
1,66.4648409,70,44.8702101,23.4857849,68,53.9555006,82.11091234,44.87021014
1,65.9754174,69,45.915325,29.3381038,68,54.2039356,84.97316637,45.91532499
0,56.8118341,71,33.1891892,2.0480855,47,56.3543936,72.45080501,25.52742616
0,70.0853112,61,36.1177407,3.4906783,51,58.5930543,45.43828265,34.67980296
0,65.1972091,73,36.0841424,5.6394763,47,54.6325879,44.00715564,36.67334669
1,82.8832037,85,96.3740458,93.8931298,98,96.9942748,98.30028329,96.3740458
1,66.4648409,70,44.8702101,20.0247219,68,53.9555006,78.09254013,44.87021014
1,81.9749982,84,94.1662839,92.5126321,98,95.4983923,98.67799811,94.16628388
0,72.1800353,64,38.8688946,2.8487947,41,58.2694908,61.75637394,33.69414377
0,60.5844835,67,35.718545,2.1235521,20,25.2710027,74.40982059,33.00165837
0,66.4120246,75,30.6108442,1.2884753,46,49.1336634,41.54863078,36.1852861
1,81.8284961,89,95.1276102,94.7563805,99,95.5916473,97.40608229,95.12761021
1,65.9754174,69,45.915325,18.0083482,68,54.2039356,77.72808587,45.91532499
1,81.9749982,84,94.1662839,91.2264584,98,95.4983923,97.13774597,94.16628388
0,70.3578315,77,28.6577993,2.2924901,47,48.1343284,45.52772809,35.64935065
0,70.414856,72,37.7292576,3.6471168,39,58.6479368,70.30411449,34.86238532
0,68.6864582,66,30.8476737,1.6149068,45,39.2354125,48.47942755,28.35051546
1,81.0208364,89,46.2049336,9.1872233,68,62.9981025,97.21503576,46.20493359
1,81.7895361,89,45.2117365,6.0540373,70,62.4990323,97.59549536,45.21173647
1,90.7743772,94,99.4722753,99.456979,100,99.4722753,99.77172424,99.47227533
0,57.7616566,63,18.5641575,1.5561644,33,41.3970671,62.19753462,13.35203366
0,53.7366122,59,21.4819672,1.1829135,18,35.8763133,76.13757419,23.195144
0,50.0815236,56,18.2798598,0.4761238,18,13.7387387,59.94521382,16.49877484
1,81.0208364,89,46.2049336,7.1473751,68,62.9981025,96.69244693,46.20493359
1,82.2596425,89,45.4962569,5.5059164,68,62.7465186,96.72535791,45.49625694
1,81.1758247,89,45.6243542,6.311104,67,62.5228519,96.42915912,45.62435418
0,52.4394556,59,13.8034509,0.4254026,28,16.329588,43.39312161,14.10141014
0,54.3113418,56,22.1567803,0.8915305,33,33.9632546,54.08918874,16.92216981
0,48.8269194,54,26.7109635,0.4700721,21,13.1498471,78.19647853,8.527982442
1,81.7895361,89,45.2117365,5.8372687,70,62.4990323,97.33690514,45.21173647
1,82.2596425,89,45.4962569,6.4879659,68,62.7465186,97.5732745,45.49625694
1,81.9910407,89,45.3385214,5.8988327,70,62.5992218,97.30538922,45.3385214
0,58.2708446,74,27.4544312,0.3277862,67,49.1297966,57.78443114,14.1620998
0,61.2033712,61,20.0300177,0.8166206,67,24.6723416,45.66656161,27.59131293
0,48.2664504,55,9.8886414,0.2331342,13,18.3898305,56.63410022,11.64021164
1,90.7743772,94,99.4722753,99.456979,100,99.4722753,100,99.47227533
1,81.1758247,89,45.6243542,8.1869486,67,62.5228519,97.21709717,45.62435418
1,81.9910407,89,45.3385214,6.1011673,70,62.5992218,97.78597786,45.3385214
0,53.9987043,63,16.6159801,1.5907633,38,41.7023675,71.32533825,21.01944298
0,58.7607844,58,19.3955675,0.928553,20,10.6660862,57.39544895,14.26174497
0,50.1115694,54,14.8755735,0.3470832,22,15.2198422,47.26322263,18.44646987
1,83.6295559,90,94.8200176,81.2993854,98,94.9956102,96.67235495,94.82001756
1,73.6304648,76,45.5132807,15.0753769,58,59.8707825,88.5665529,45.51328069
1,73.1097981,76,50.1573977,21.3361315,62,62.3994404,91.80887372,50.15739769
0,60.5344473,79,37.2161895,2.4481107,47,57.9887218,63.8225256,33.14794216
0,60.823598,75,37.5134553,4.3003413,48,48.8068182,41.63822526,37.49436683
0,56.8431465,65,33.3884298,1.6221374,44,48.6775464,76.02389078,35.20908622
1,83.6295559,90,94.8200176,93.7664618,98,94.9956102,98.19168174,94.82001756
1,72.3713469,75,46.5441176,16.6176471,58,59.8897059,90.86799277,46.54411765
1,71.712229,75,45.3992123,14.7511636,56,57.9663444,90.59674503,45.39921232
0,63.216868,74,33.7066375,1.6460905,39,44.3666454,74.95479204,37.53462604
0,72.2646499,67,33.3969986,3.3099936,35,47.5081097,61.84448463,32.10831721
0,68.22496,69,34.261242,2.0291693,47,47.7737665,59.94575045,29.83565107
1,73.6304648,76,45.5132807,11.1988514,58,59.8707825,81.28872367,45.51328069
1,72.3713469,75,46.5441176,13.1617647,58,59.8897059,82.28004957,46.54411765
1,83.5675308,90,96.0315056,95.3044532,98,96.3950318,99.50433705,96.0315056
0,69.3954348,71,38.720353,1.5879017,48,52.6998349,78.2527881,38.92215569
0,55.9786972,63,39.084507,1.3189865,41,33.9508507,74.34944238,34.86011389
0,52.2224736,58,33.8969404,2.5104603,39,47.9583333,52.9739777,34.98817967
1,73.1097981,76,50.1573977,16.0895418,62,62.3994404,83.22465916,50.15739769
1,71.712229,75,45.3992123,12.0300752,56,57.9663444,80.79430943,45.39921232
1,83.5675308,90,96.0315056,95.3044532,98,96.3950318,97.74748074,96.0315056
0,58.2010324,63,30.9846827,3.0188679,50,55.6590752,81.38707765,27.95966638
0,65.8257583,74,38.8124157,1.5272727,37,50.4406641,73.50326023,33.0519769
0,69.7285303,58,33.104562,0.4446421,39,46.2313583,49.85180794,29.46902655
1,83.8203807,85,98.9720999,98.433676,99,99.0455213,99.55817378,98.97209985
1,83.1233658,90,97.521059,96.654633,99,97.6895307,99.9018164,97.52105897
1,82.13889,89,96.3489806,88.1934566,99,96.4438122,99.85272459,96.34898056
0,57.0523387,57,37.9091869,2.2391692,50,42.9985856,71.28129602,34.63035019
0,67.7710697,79,39.389234,2.3323615,46,35.1309707,53.85370643,31.5504067
0,52.5710415,56,22.9402262,1.754386,32,35.1681957,38.92979872,32.05171827
1,83.8203807,85,98.9720999,97.5036711,99,99.0455213,100,98.97209985
1,83.2733397,85,97.4322054,96.0403168,100,97.6481881,100,97.43220542
1,82.3652025,84,96.0283688,86.6193853,100,96.2411348,100,96.02836879
0,63.0160119,77,33.5380117,67.0218163,43,55.820029,51.58613958,27.21495327
0,54.3348215,65,33.8332752,3.23219,43,36.3808085,73.49926794,31.32102273
0,51.5754132,61,29.5429616,0.4294918,45,40.1441441,48.16983895,37.51787246
1,83.1233658,90,97.521059,96.654633,99,97.6895307,99.24457035,97.52105897
1,83.2733397,85,97.4322054,96.7602592,100,97.6481881,98.96128423,97.43220542
1,83.7468425,90,97.1388695,89.3230984,99,97.4180042,99.33899906,97.1388695
0,68.7668136,72,36.8486352,0.8495146,48,48.3096367,67.42209632,25.19440124
0,60.8503877,70,38.1556477,1.4742015,38,41.1226358,75.21246459,36.19909502
0,52.1437699,58,24.82028,2.2257552,34,18.9575452,37.48819641,27.90528233
1,82.13889,89,96.3489806,84.2105263,99,96.4438122,98.89958735,96.34898056
1,82.3652025,84,96.0283688,84.1607565,100,96.2411348,98.16597891,96.02836879
1,83.7468425,90,97.1388695,84.7173761,99,97.4180042,99.03713893,97.1388695
0,75.1747442,63,37.6398779,71.1831124,47,58.5759069,72.85648785,38.01574052
0,61.3931244,83,37.0509607,2.4398745,37,34.2238267,58.50527281,27.85174523
0,50.3090585,60,20.9560229,3.6130975,32,40.0338409,38.69784503,30.87293563
1,81.7387357,89,86.6680404,80.7335669,91,88.131053,96.90939881,86.66804039
1,82.8361694,85,84.9044449,74.8550569,96,85.8063131,97.88314987,84.90444492
1,85.5693503,91,98.1810491,97.8003384,99,98.4560068,99.15325995,98.18104907
0,59.8202394,77,28.7922358,1.1955786,35,47.6066897,62.82811177,32.10919727
0,60.5662413,73,38.9811739,2.2215726,34,56.1347431,80.18628281,33.31412104
0,52.4498673,62,27.6512687,0.8034818,21,31.0829335,50.88907705,25.5566975
1,81.7387357,89,86.6680404,83.2474758,91,88.131053,97.14973906,86.66804039
1,80.8342165,83,79.1475136,71.8345173,94,81.2160468,96.4271377,79.14751358
1,82.040761,89,86.802553,83.9201153,94,88.3467161,97.10959454,86.80255302
0,75.9447538,66,34.287302,2.6204752,45,59.1017574,74.74909675,38.10792805
0,57.3392698,70,29.7059607,1.3957546,51,48.0302213,61.94299478,39.64138599
0,53.1622421,57,26.6834487,1.1588275,40,27.2879651,36.41107989,24.47529868
1,82.8361694,85,84.9044449,81.2969723,96,85.8063131,99.12854031,84.90444492
1,80.8342165,83,79.1475136,71.8763059,94,81.2160468,97.29847495,79.14751358
1,82.7284844,84,85.0032182,81.6133877,96,85.7326754,98.8671024,85.00321819
0,71.616905,68,39.7387591,1.9124308,48,30.3571429,56.20915033,39.42895989
0,61.31818,77,37.5667518,8.9036545,51,43.3063512,70.06535948,35.76548429
0,51.9395817,58,29.5167045,0.7166124,44,25.7603518,46.0130719,30.43478261
1,85.5693503,91,98.1810491,97.8003384,99,98.4560068,99.3660186,98.18104907
1,82.040761,89,86.802553,80.9553222,94,88.3467161,97.12595097,86.80255302
1,82.7284844,84,85.0032182,75.9064578,96,85.7326754,97.88672866,85.00321819
