name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,1,0.612865711,0.613355829,0.757077312,0.604000498,0.724329443,0.730050211,0.004082918,0.00399518,0.002959013,0.004318953,0.002956867,0.003093004
cemiyyet,1,0.612865711,0.776582667,0.607619811,0.663981063,0.732716831,0.709085907,0.003856897,0.010428905,0.00407815,0.005891085,0.010279894,0.009304285
cemiyyet,1,0.613355829,0.776582667,0.59653467,0.769187229,0.718097005,0.652462548,0.006268978,0.011821985,0.006838083,0.009892225,0.006761789,0.0055089
cemiyyet,1,0.757077312,0.607619811,0.59653467,0.687863274,0.594280799,0.691076246,0.002983809,0.004050255,0.004522324,0.003657818,0.005176067,0.005689144
cemiyyet,2,0.670670387,0.828832037,0.818284961,0.535351337,0.650929907,0.559056871,0.007622242,0.016146898,0.014502048,0.017462015,0.01043272,0.004201889
cemiyyet,2,0.670670387,0.664648409,0.659754174,0.568118341,0.700853112,0.651972091,0.005413055,0.005779028,0.006673336,0.005758047,0.005049944,0.002408028
cemiyyet,2,0.828832037,0.664648409,0.819749982,0.721800353,0.605844835,0.664120246,0.006923199,0.004251957,0.007595062,0.007487059,0.003458023,0.004426956
cemiyyet,2,0.818284961,0.659754174,0.819749982,0.703578315,0.70414856,0.686864582,0.00749898,0.004415035,0.007869959,0.005336046,0.005349159,0.005332947
cemiyyet,3,0.810208364,0.817895361,0.907743772,0.577616566,0.537366122,0.500815236,0.101604939,0.084574223,0.121023893,0.020237923,0.013067007,0.01083684
cemiyyet,3,0.810208364,0.822596425,0.811758247,0.524394556,0.543113418,0.488269194,0.081313133,0.073069096,0.079440832,0.009822845,0.012274981,0.010109901
cemiyyet,3,0.817895361,0.822596425,0.819910407,0.582708446,0.612033712,0.482664504,0.198758841,0.123701096,0.131572962,0.026139736,0.036132097,0.012517929
cemiyyet,3,0.907743772,0.811758247,0.819910407,0.539987043,0.587607844,0.501115694,0.17719698,0.089362144,0.09337306,0.013216972,0.023609877,0.010230064
cemiyyet,4,0.836295559,0.736304648,0.731097981,0.605344473,0.60823598,0.568431465,0.01155591,0.009459019,0.009259224,0.003602028,0.010713816,0.003728867
cemiyyet,4,0.836295559,0.723713469,0.71712229,0.63216868,0.722646499,0.6822496,0.007707119,0.008398056,0.008234024,0.009600878,0.006418943,0.005233049
cemiyyet,4,0.736304648,0.723713469,0.835675308,0.693954348,0.559786972,0.522224736,0.008753061,0.015329123,0.015986919,0.013262272,0.004039049,0.003128767
cemiyyet,4,0.731097981,0.71712229,0.835675308,0.582010324,0.658257583,0.697285303,0.009387016,0.008285761,0.01272893,0.006024361,0.007524729,0.010129929
cemiyyet,5,0.838203807,0.831233658,0.8213889,0.570523387,0.677710697,0.525710415,0.021765947,0.020124912,0.0227139,0.028778076,0.019845009,0.004519224
cemiyyet,5,0.838203807,0.832733397,0.823652025,0.630160119,0.543348215,0.515754132,0.020426035,0.018486023,0.018598795,0.007868052,0.005197048,0.004322052
