name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,1,0.65,0.65,0.78,0.65,0.6,0.68,0.004509926,0.004579067,0.003350019,0.004440069,0.006088972,0.003953218
cemiyyet,1,0.65,0.8,0.65,0.74,0.6,0.73,0.00459528,0.009392977,0.004400969,0.006870031,0.003412008,0.007914782
cemiyyet,1,0.65,0.8,0.64,0.8,0.62,0.65,0.004602909,0.009439945,0.004477024,0.00909996,0.004095078,0.004781008
cemiyyet,1,0.78,0.65,0.64,0.6,0.59,0.69,0.003821135,0.004800797,0.004306793,0.004590034,0.005295038,0.002145052
cemiyyet,2,0.7,0.85,0.89,0.7,0.74,0.71,0.00404501,0.006930828,0.008184195,0.004153967,0.006675959,0.005247831
cemiyyet,2,0.7,0.7,0.69,0.71,0.61,0.73,0.00474906,0.004745007,0.00515008,0.004469156,0.006577253,0.003350973
cemiyyet,2,0.85,0.7,0.84,0.64,0.67,0.75,0.008043766,0.004575253,0.008666277,0.009695053,0.01045084,0.005977154
cemiyyet,2,0.89,0.69,0.84,0.77,0.72,0.66,0.007819176,0.004401207,0.007455111,0.007069111,0.005044937,0.004527807
cemiyyet,3,0.89,0.89,0.94,0.63,0.59,0.56,0.080543995,0.085541248,0.118755102,0.02479291,0.014970064,0.011068106
cemiyyet,3,0.89,0.89,0.89,0.59,0.56,0.54,0.089228868,0.076380253,0.08155179,0.013179064,0.010724783,0.008716106
cemiyyet,3,0.89,0.89,0.89,0.74,0.61,0.55,0.086479902,0.075049877,0.081566095,0.099357843,0.021095037,0.012628078
cemiyyet,3,0.94,0.89,0.89,0.63,0.58,0.54,0.129409075,0.078864098,0.082046032,0.019211054,0.011793852,0.010505915
cemiyyet,4,0.9,0.76,0.76,0.79,0.75,0.65,0.009019136,0.008872986,0.008855104,0.008780718,0.01022315,0.00459981
cemiyyet,4,0.9,0.75,0.75,0.74,0.67,0.69,0.008493185,0.009020805,0.008363962,0.007003307,0.004131079,0.004565001
cemiyyet,4,0.76,0.75,0.9,0.71,0.63,0.58,0.008630991,0.008300066,0.012174129,0.00729394,0.00497818,0.004212856
cemiyyet,4,0.76,0.75,0.9,0.63,0.74,0.58,0.008848906,0.008788347,0.012702227,0.01812005,0.012908936,0.004016876
cemiyyet,5,0.85,0.9,0.89,0.57,0.79,0.56,0.018020868,0.017425776,0.017642021,0.00416708,0.015982151,0.003627062
cemiyyet,5,0.85,0.85,0.84,0.77,0.65,0.61,0.017990828,0.018098116,0.017886877,0.016360998,0.007406235,0.005130768
cemiyyet,5,0.9,0.85,0.9,0.72,0.7,0.58,0.017533064,0.018399954,0.01924777,0.010148287,0.00881505,0.004660845
cemiyyet,5,0.89,0.84,0.9,0.63,0.83,0.6,0.018075228,0.017956972,0.019968033,0.006453991,0.015448093,0.00532198
cemiyyet,6,0.89,0.85,0.91,0.77,0.73,0.62,0.022552013,0.020313263,0.021644831,0.014267206,0.011625051,0.006289244
cemiyyet,6,0.89,0.83,0.89,0.66,0.7,0.57,0.019265175,0.019739866,0.019515276,0.024708748,0.022416115,0.005380869
cemiyyet,6,0.85,0.83,0.84,0.68,0.77,0.58,0.020836115,0.018398046,0.018318892,0.010025978,0.013385057,0.00534606
cemiyyet,6,0.91,0.89,0.84,0.77,0.62,0.57,0.021757841,0.019454956,0.018666983,0.015855074,0.006397963,0.005285263
cemiyyet,7,0.71,0.9,0.71,0.61,0.74,0.59,0.018731833,0.067059994,0.026948929,0.020489931,0.013062716,0.010645866
cemiyyet,7,0.71,0.71,0.77,0.72,0.74,0.66,0.019104958,0.019858837,0.020111084,0.011446953,0.014492989,0.007729292
cemiyyet,7,0.9,0.71,0.71,0.62,0.58,0.56,0.068225861,0.019392014,0.026131868,0.014040947,0.010756969,0.008373022
cemiyyet,7,0.71,0.77,0.71,0.76,0.61,0.57,0.026674986,0.015882015,0.025327921,0.015644312,0.00692606,0.005190849
cemiyyet,8,0.58,0.7,0.88,0.6,0.55,0.52,0.017328739,0.035027742,0.150826931,0.022989988,0.013345003,0.012258768
cemiyyet,8,0.58,0.64,0.58,0.56,0.63,0.76,0.016008377,0.007416964,0.015106916,0.023620844,0.006884813,0.004136801
cemiyyet,8,0.7,0.64,0.65,0.78,0.69,0.56,0.031668901,0.007328987,0.032271862,0.017105818,0.010246038,0.00451088
