name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,1,0.373947221,0.336548767,0.572825024,0.278093572,0.288164666,0.363188168,0.001928806,0.00147295,0.000710011,0.001721144,0.001718998,0.001006126
cemiyyet,1,0.373947221,0.419416003,0.376811594,0.368217054,0.369455876,0.362162162,0.001315117,0.006325006,0.001358032,0.002535105,0.002971888,0.003391027
cemiyyet,1,0.336548767,0.419416003,0.348057477,0.384290815,0.379027164,0.291028446,0.00147891,0.004892111,0.001455069,0.006300926,0.006443024,0.001361847
cemiyyet,1,0.572825024,0.376811594,0.348057477,0.217447917,0.335143522,0.340040241,0.000729084,0.001352787,0.001557112,0.0023911,0.001042128,0.000640869
cemiyyet,2,0.45112782,0.963740458,0.951276102,0.385981757,0.384009009,0.34928527,0.001422882,0.002166033,0.002310991,0.003598928,0.002150059,0.001364946
cemiyyet,2,0.45112782,0.448702101,0.45915325,0.331891892,0.361177407,0.360841424,0.001234055,0.001255989,0.001355886,0.001541138,0.001048088,0.001023054
cemiyyet,2,0.963740458,0.448702101,0.941662839,0.388688946,0.35718545,0.306108442,0.00241518,0.001536608,0.002378941,0.002362013,0.022429943,0.001105785
cemiyyet,2,0.951276102,0.45915325,0.941662839,0.286577993,0.377292576,0.308476737,0.003255129,0.001842976,0.003528118,0.010574102,0.004294872,0.001502991
cemiyyet,3,0.462049336,0.452117365,0.994722753,0.185641575,0.214819672,0.182798598,0.126855373,0.155701876,0.077178717,0.009917974,0.012222052,0.009254932
cemiyyet,3,0.462049336,0.454962569,0.456243542,0.138034509,0.221567803,0.267109635,0.116783142,0.120729208,0.121333122,0.006556034,0.010612011,0.016728163
cemiyyet,3,0.452117365,0.454962569,0.453385214,0.274544312,0.200300177,0.098886414,0.13433218,0.115326166,0.121637106,0.020292997,0.010178804,0.004472017
cemiyyet,3,0.994722753,0.456243542,0.453385214,0.166159801,0.193955675,0.148755735,0.06504488,0.111600161,0.129187107,0.007461071,0.00937295,0.006392717
cemiyyet,4,0.948200176,0.455132807,0.501573977,0.372161895,0.375134553,0.333884298,0.002062082,0.005297899,0.004844189,0.002662182,0.005943775,0.001710892
cemiyyet,4,0.948200176,0.465441176,0.453992123,0.337066375,0.333969986,0.34261242,0.001875401,0.004086971,0.004385233,0.005820036,0.005975008,0.003532171
cemiyyet,4,0.455132807,0.465441176,0.960315056,0.38720353,0.39084507,0.338969404,0.004573822,0.004190922,0.004211903,0.00818491,0.009122133,0.003009796
cemiyyet,4,0.501573977,0.453992123,0.960315056,0.309846827,0.388124157,0.33104562,0.004006863,0.00446105,0.004258871,0.002054214,0.008843184,0.002861738
cemiyyet,5,0.989720999,0.97521059,0.963489806,0.379091869,0.39389234,0.229402262,0.007350922,0.007368088,0.007561922,0.009121895,0.009912968,0.001428843
cemiyyet,5,0.989720999,0.974322054,0.960283688,0.335380117,0.338332752,0.295429616,0.006744146,0.00731492,0.007726908,0.019782066,0.003333092,0.002619028
cemiyyet,5,0.97521059,0.974322054,0.971388695,0.368486352,0.381556477,0.2482028,0.007181883,0.007521152,0.006673813,0.005502939,0.01104784,0.001977205
cemiyyet,5,0.963489806,0.960283688,0.971388695,0.376398779,0.370509607,0.209560229,0.007688999,0.007725,0.00707984,0.009883881,0.01748395,0.001481771
cemiyyet,6,0.866680404,0.849044449,0.981810491,0.287922358,0.389811739,0.276512687,0.013534784,0.012105942,0.008383989,0.037212133,0.00658083,0.003057241
cemiyyet,6,0.866680404,0.791475136,0.86802553,0.34287302,0.297059607,0.266834487,0.012156248,0.013342381,0.01208806,0.005284786,0.04538703,0.00325799
cemiyyet,6,0.849044449,0.791475136,0.850032182,0.397387591,0.375667518,0.295167045,0.011604786,0.013279676,0.01149416,0.009423256,0.011569738,0.003348112
cemiyyet,6,0.981810491,0.86802553,0.850032182,0.394290812,0.367357788,0.330458971,0.008378744,0.012290955,0.011769056,0.013347149,0.007852077,0.006371737
cemiyyet,7,0.522230483,0.995933688,0.394505201,0.37593819,0.138798856,0.135372849,0.015712023,0.034853935,0.028326988,0.054237843,0.003561974,0.003399849
cemiyyet,7,0.522230483,0.52034452,0.427494075,0.349046262,0.377310062,0.301181853,0.015491009,0.015407085,0.012878895,0.01385498,0.011984825,0.002714872
cemiyyet,7,0.995933688,0.52034452,0.393765819,0.323218066,0.151936818,0.194693439,0.035647869,0.01544714,0.028467894,0.023550987,0.003577948,0.006146908
cemiyyet,7,0.394505201,0.427494075,0.393765819,0.362773888,0.238823882,0.270567787,0.028002024,0.012695789,0.030608177,0.010666132,0.002834082,0.003432989
cemiyyet,8,0.14038073,0.448469706,0.967353262,0.112308687,0.066918631,0.109243697,0.008573055,0.027802944,0.115208864,0.007166147,0.003559113,0.007121325
cemiyyet,8,0.14038073,0.362362972,0.139490848,0.368686869,0.365963855,0.370272064,0.008459091,0.002963781,0.008725882,0.002599001,0.001008034,0.001502752
cemiyyet,8,0.448469706,0.362362972,0.436604775,0.370910803,0.216119869,0.205833054,0.02828908,0.002793789,0.028848171,0.01016283,0.064553022,0.001745939
cemiyyet,8,0.967353262,0.139490848,0.436604775,0.236300711,0.076477658,0.098847852,0.116065741,0.009015083,0.03054285,0.02497983,0.004711866,0.006482363
cemiyyet,9,0.969522714,0.924293785,0.934169279,0.364490371,0.292288027,0.257220217,0.005377054,0.005864859,0.00582695,0.011059999,0.002197027,0.001520872
cemiyyet,9,0.969522714,0.924614506,0.935753385,0.26142596,0.292233436,0.284969592,0.005424976,0.005821228,0.005614042,0.001401186,0.001856089,0.001857042
cemiyyet,9,0.924293785,0.924614506,0.971978489,0.384203822,0.304878049,0.23567171,0.005658865,0.005176783,0.000190973,0.010383844,0.002555132,0.001277924
cemiyyet,9,0.934169279,0.935753385,0.971978489,0.343159486,0.353785432,0.370786517,0.005592108,0.004931927,0.000188828,0.003500938,0.004523993,0.006338835
cemiyyet,10,0.906971211,0.915158637,0.923959828,0.316541622,0.347602189,0.248636009,0.009255886,0.009368896,0.008934975,0.003650904,0.005842924,0.002490044
cemiyyet,10,0.906971211,0.93637621,0.94912075,0.344935717,0.39445629,0.270588235,0.00977397,0.008720875,0.008490086,0.005063295,0.009275675,0.002282858
cemiyyet,10,0.915158637,0.93637621,0.978920547,0.341056534,0.268771098,0.239909468,0.009427071,0.008846045,0.006865978,0.004872799,0.036715984,0.001818895
cemiyyet,10,0.923959828,0.94912075,0.978920547,0.377117049,0.276190476,0.303072144,0.008573055,0.008298874,0.006942987,0.017029047,0.002373219,0.003257036
cemiyyet,11,0.503491078,0.50038373,0.855758479,0.316897507,0.389076197,0.356798457,0.005970001,0.005727053,0.004031897,0.001413107,0.005498171,0.002178907
cemiyyet,11,0.503491078,0.963984674,0.44733904,0.349854227,0.388046387,0.196939454,0.00422883,0.002824068,0.005023241,0.002215862,0.002938271,0.000430107
cemiyyet,11,0.50038373,0.963984674,0.450828729,0.350672646,0.248401826,0.343687375,0.004266262,0.002779007,0.005260944,0.002686977,0.013868093,0.001931906
