name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,1,0.12128018,0.049303323,0.33431085,0.052027544,0.013090909,0.019748654,0.002047062,0.002215147,0.001872301,0.001437902,0.001392126,0.001326084
cemiyyet,1,0.051656373,0.046264695,0.088071349,0.093137255,0.035822708,0.038022814,0.003196955,0.005386114,0.003149033,0.004688978,0.006052732,0.003152847
cemiyyet,1,0.065380493,0.044747819,0.079829697,0.025699862,0.013506494,0.029801325,0.004112959,0.004957914,0.004211903,0.003612995,0.004226923,0.003681898
cemiyyet,1,0.076246334,0.081382386,0.042575838,0.02526003,0.029363785,0.046575342,0.00135684,0.001936913,0.002501249,0.002264023,0.002743959,0.000813246
cemiyyet,2,0.203007519,0.938931298,0.947563805,0.037129955,0.026829842,0.022606383,0.002096891,0.002125978,0.002036095,0.002609015,0.005618811,0.002352953
cemiyyet,2,0.261904762,0.234857849,0.293381038,0.020480855,0.034906783,0.056394763,0.002217054,0.002076149,0.002070189,0.001878977,0.002704859,0.001942873
cemiyyet,2,0.938931298,0.200247219,0.925126321,0.028487947,0.021235521,0.012884753,0.002328634,0.002199888,0.002441883,0.004193068,0.004086018,0.002735853
cemiyyet,2,0.947563805,0.180083482,0.912264584,0.022924901,0.036471168,0.016149068,0.0022192,0.002117872,0.002480984,0.006814003,0.003441811,0.002310991
cemiyyet,3,0.091872233,0.060540373,0.99456979,0.015561644,0.011829135,0.004761238,0.056830168,0.048130035,0.025965929,0.044262171,0.037127972,0.008863211
cemiyyet,3,0.071473751,0.055059164,0.06311104,0.004254026,0.008915305,0.004700721,0.072022915,0.039539099,0.079993725,0.014959812,0.017066002,0.012532949
cemiyyet,3,0.058372687,0.064879659,0.058988327,0.003277862,0.008166206,0.002331342,0.083122253,0.053054094,0.080662012,0.015310049,0.035993099,0.018471241
cemiyyet,3,0.99456979,0.081869486,0.061011673,0.015907633,0.00928553,0.003470832,0.028722048,0.057523966,0.046716928,0.02702117,0.017878056,0.024385214
cemiyyet,4,0.812993854,0.150753769,0.213361315,0.024481107,0.043003413,0.016221374,0.004256964,0.004801989,0.004817963,0.004161119,0.0041821,0.00265193
cemiyyet,4,0.937664618,0.166176471,0.147511636,0.016460905,0.033099936,0.020291693,0.002277136,0.003839016,0.003978014,0.002190113,0.002473831,0.002108812
cemiyyet,4,0.111988514,0.131617647,0.953044532,0.015879017,0.013189865,0.025104603,0.005532026,0.005711794,0.002437115,0.014365911,0.005094767,0.004554033
cemiyyet,4,0.160895418,0.120300752,0.953044532,0.030188679,0.015272727,0.004446421,0.00564599,0.005980968,0.002512932,0.005920887,0.006011963,0.002974987
cemiyyet,5,0.98433676,0.96654633,0.881934566,0.022391692,0.023323615,0.01754386,0.003255129,0.003991127,0.004286051,0.01825881,0.006552696,0.009081125
cemiyyet,5,0.975036711,0.960403168,0.866193853,0.670218163,0.0323219,0.004294918,0.003132105,0.003968954,0.005366087,0.005021811,0.012334108,0.004087687
cemiyyet,5,0.96654633,0.967602592,0.893230984,0.008495146,0.014742015,0.022257552,0.004086971,0.00508213,0.004215002,0.005582094,0.004160166,0.00856185
