name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,1,0.61,0.52,0.71,0.43,0.35,0.43,0.002615929,0.001011133,0.000412226,0.001060009,0.00156498,0.000738144
cemiyyet,1,0.61,0.59,0.57,0.48,0.45,0.25,0.000781775,0.002116203,0.000764847,0.003121853,0.003595114,0.000689745
cemiyyet,1,0.52,0.59,0.52,0.39,0.35,0.48,0.001182079,0.002020121,0.000840902,0.000942945,0.001051903,0.002391815
cemiyyet,1,0.71,0.57,0.52,0.45,0.25,0.43,0.000468016,0.000761986,0.000832081,0.000953913,0.003213167,0.000877857
cemiyyet,2,0.67,0.98,0.99,0.44,0.3,0.47,0.000614882,0.000460148,0.000430107,0.001793861,0.005087137,0.001748085
cemiyyet,2,0.67,0.68,0.68,0.47,0.51,0.47,0.00098896,0.000865698,0.000848055,0.001130819,0.001027822,0.00128603
cemiyyet,2,0.98,0.68,0.98,0.41,0.2,0.46,0.000917912,0.000826836,0.000463724,0.002376795,0.005551815,0.001673937
cemiyyet,2,0.99,0.68,0.98,0.47,0.39,0.45,0.00059104,0.000601768,0.000515223,0.001541138,0.000634909,0.001373053
cemiyyet,3,0.68,0.7,1,0.33,0.18,0.18,0.025840998,0.028761148,0.002569914,0.01119709,0.003354073,0.004262924
cemiyyet,3,0.68,0.68,0.67,0.28,0.33,0.21,0.025142193,0.028288126,0.026258945,0.004542112,0.012037992,0.006995916
cemiyyet,3,0.7,0.68,0.7,0.67,0.67,0.13,0.033860207,0.030694962,0.030161858,0.032428026,0.030945063,0.003332138
cemiyyet,3,1,0.67,0.7,0.38,0.2,0.22,0.002520084,0.026348114,0.027928829,0.013403893,0.004424095,0.005457878
cemiyyet,4,0.98,0.58,0.62,0.47,0.48,0.44,0.000527143,0.001543999,0.001357079,0.001376867,0.001863241,0.002620935
cemiyyet,4,0.98,0.58,0.56,0.39,0.35,0.47,0.000649929,0.001655817,0.001495123,0.000764132,0.0033741,0.001267195
cemiyyet,4,0.58,0.58,0.98,0.48,0.41,0.39,0.001565933,0.001549006,0.000710964,0.002365112,0.013041973,0.001554966
cemiyyet,4,0.62,0.56,0.98,0.5,0.37,0.39,0.001697063,0.001666069,0.000787973,0.003704071,0.001266956,0.002456188
cemiyyet,5,0.99,0.99,0.99,0.5,0.46,0.32,0.001214981,0.000930786,0.00094533,0.006195068,0.00425601,0.001893044
cemiyyet,5,0.99,1,1,0.43,0.43,0.45,0.001158953,0.001050711,0.001127958,0.002617121,0.002766848,0.005231142
cemiyyet,5,0.99,1,0.99,0.48,0.38,0.34,0.001070023,0.00095892,0.001015663,0.009283781,0.002230167,0.001791954
cemiyyet,5,0.99,1,0.99,0.47,0.37,0.32,0.000865936,0.000837088,0.00085783,0.00363493,0.002243042,0.001616955
cemiyyet,6,0.91,0.96,0.99,0.35,0.34,0.21,0.001208782,0.000937939,0.000911951,0.001523972,0.001442909,0.00089097
cemiyyet,6,0.91,0.94,0.94,0.45,0.51,0.4,0.001156092,0.000993967,0.001010895,0.002376795,0.003378153,0.001988888
cemiyyet,6,0.96,0.94,0.96,0.48,0.51,0.44,0.001203299,0.000993013,0.000923157,0.002518177,0.003309011,0.002680063
cemiyyet,6,0.99,0.94,0.96,0.44,0.32,0.38,0.000943899,0.001010895,0.000922203,0.003988028,0.001295805,0.001584768
cemiyyet,7,0.95,1,0.64,0.48,0.37,0.29,0.001493931,0.001778126,0.00484395,0.008351088,0.00399518,0.002980232
cemiyyet,7,0.95,0.95,0.67,0.45,0.44,0.3,0.001495123,0.00155592,0.002223969,0.002606153,0.005842924,0.001186132
cemiyyet,7,1,0.95,0.64,0.52,0.23,0.24,0.002191782,0.001609802,0.005091906,0.006307125,0.002340078,0.002582073
cemiyyet,7,0.64,0.67,0.64,0.31,0.54,0.3,0.005199909,0.002236366,0.005170822,0.02097106,0.003845215,0.001874924
cemiyyet,8,0.7,0.97,0.97,0.38,0.41,0.29,0.002526999,0.002179861,0.003201008,0.005106211,0.006253719,0.003658056
cemiyyet,8,0.7,0.74,0.71,0.39,0.38,0.4,0.002939939,0.001122952,0.002805948,0.001893759,0.002298117,0.000704765
cemiyyet,8,0.97,0.74,0.95,0.43,0.49,0.32,0.002290249,0.001114845,0.002427816,0.002057314,0.005007267,0.001743793
cemiyyet,8,0.97,0.71,0.95,0.51,0.55,0.42,0.00326705,0.002595901,0.002471924,0.004247904,0.008090019,0.009485006
cemiyyet,9,0.99,0.94,0.95,0.43,0.46,0.39,0.000765324,0.000748873,0.00072217,0.00165987,0.002640963,0.002008915
cemiyyet,9,0.99,0.93,0.94,0.28,0.47,0.35,0.00074172,0.0007658,0.000873089,0.000876904,0.003340721,0.001575947
cemiyyet,9,0.94,0.93,0.99,0.33,0.48,0.37,0.000898123,0.00089097,0.000701904,0.000965834,0.003682852,0.001280069
cemiyyet,9,0.95,0.94,0.99,0.5,0.44,0.4,0.000779867,0.000722885,0.000697136,0.003688097,0.002098799,0.001468182
cemiyyet,10,0.96,0.97,0.97,0.48,0.4,0.4,0.000887632,0.000855923,0.000833035,0.006199837,0.002326012,0.002159119
cemiyyet,10,0.96,0.97,0.97,0.4,0.35,0.2,0.001013041,0.000868797,0.000839949,0.002310038,0.001360893,0.000843763
cemiyyet,10,0.97,0.97,1,0.54,0.33,0.41,0.000874996,0.000916004,0.000853062,0.004312992,0.001467943,0.00266695
cemiyyet,10,0.97,0.97,1,0.49,0.4,0.41,0.000857115,0.000843048,0.000900984,0.002658129,0.002102137,0.002252102
cemiyyet,11,0.71,0.7,0.95,0.29,0.3,0.34,0.00146699,0.001425982,0.000588655,0.00732398,0.000874043,0.000948906
cemiyyet,11,0.71,0.99,0.71,0.47,0.48,0.35,0.001391172,0.000607967,0.001608849,0.004145861,0.003682852,0.001193285
cemiyyet,11,0.7,0.99,0.71,0.41,0.29,0.37,0.001436949,0.000552177,0.001575947,0.001624107,0.000820875,0.001412153
cemiyyet,11,0.95,0.71,0.71,0.41,0.41,0.42,0.000613928,0.001590014,0.001742125,0.002010822,0.001553774,0.001627207
cemiyyet,12,0.76,1,0.97,0.28,0.43,0.44,0.000254154,0.000277996,0.000313044,0.000922203,0.000610113,0.000419855
cemiyyet,12,0.76,0.94,0.91,0.38,0.21,0.38,0.000248194,0.000313044,0.000350952,0.000708103,0.002857924,0.000597
cemiyyet,12,1,0.94,0.95,0.24,0.42,0.46,0.000311136,0.000323057,0.000427961,0.004718065,0.002024889,0.000914812
cemiyyet,12,0.97,0.91,0.95,0.43,0.43,0.35,0.000381947,0.000378132,0.000438213,0.00089407,0.0020082,0.000617981
cemiyyet,13,1,0.86,1,0.45,0.49,0.45,0.000477076,0.000576019,0.000510931,0.002128124,0.001347065,0.001478195
cemiyyet,13,1,0.86,1,0.46,0.48,0.39,0.000438929,0.000571966,0.000452995,0.002168179,0.002267122,0.000884056
cemiyyet,13,0.86,0.86,0.88,0.37,0.36,0.44,0.000589132,0.000573874,0.000570774,0.004486084,0.000783205,0.001340866
cemiyyet,13,1,1,0.88,0.44,0.33,0.46,0.000472784,0.00045228,0.000562906,0.001636028,0.000803947,0.001231909
