name,num,s1,s2,s3,r1,r2,r3,t1,t2,t3,t4,t5,t6
cemiyyet,1,88.11881188,86.33663366,84.75247525,67.52475248,76.83168317,52.07920792,0.5391469,0.564764023,0.210347891,0.534845829,0.885941029,0.284132004
cemiyyet,1,69.43573668,76.80250784,68.02507837,79.31034483,72.64890282,50.15673981,0.580662727,1.501312017,0.568630934,9.504538059,2.053444862,0.509898901
cemiyyet,1,65.02571639,77.8104335,67.0095518,61.64584864,70.095518,55.25349008,0.574378967,1.495626926,0.590872049,0.99448204,2.069958925,0.584965706
cemiyyet,1,79.92277992,81.08108108,79.92277992,61.58301158,70.07722008,55.40540541,0.221109867,0.597388983,0.624881029,0.417478323,0.969177246,0.510744095
cemiyyet,2,77.72420444,98.7463838,99.13211186,78.20636451,88.33172613,55.93056895,0.536145926,0.949398041,1.029062271,0.879211903,4.558106899,0.622889996
cemiyyet,2,82.4686941,82.11091234,84.97316637,72.45080501,45.43828265,44.00715564,0.523291826,0.490207911,0.565740108,1.161847115,0.251693964,0.24655509
cemiyyet,2,98.30028329,78.09254013,98.67799811,61.75637394,74.40982059,41.54863078,0.949318886,0.516082764,1.022542,0.751977921,1.510107756,0.377573013
cemiyyet,2,97.40608229,77.72808587,97.13774597,45.52772809,70.30411449,48.47942755,0.999382973,0.524636984,1.002610922,0.379520893,0.728210211,0.564164162
cemiyyet,3,97.21503576,97.59549536,99.77172424,62.19753462,76.13757419,59.94521382,39.09765005,37.37360096,38.58597565,4.036887169,9.923959017,3.996272802
cemiyyet,3,96.69244693,96.72535791,96.42915912,43.39312161,54.08918874,78.19647853,35.53746104,35.02513623,34.27846217,1.942667961,3.82849288,11.30737305
cemiyyet,3,97.33690514,97.5732745,97.30538922,57.78443114,45.66656161,56.63410022,40.40904975,36.84010696,41.27428913,3.617398024,2.337479115,3.958637953
cemiyyet,3,100,97.21709717,97.78597786,71.32533825,57.39544895,47.26322263,39.50346398,40.76717687,38.24687696,9.73618412,3.105504036,2.754824877
cemiyyet,4,96.67235495,88.5665529,91.80887372,63.8225256,41.63822526,76.02389078,1.108999729,1.610576868,1.683614016,2.595950842,0.339608908,1.962208986
cemiyyet,4,98.19168174,90.86799277,90.59674503,74.95479204,61.84448463,59.94575045,1.10888195,1.501908064,1.59122014,2.016771793,1.086160898,0.647766829
cemiyyet,4,81.28872367,82.28004957,99.50433705,78.2527881,74.34944238,52.9739777,1.944951057,1.645838022,2.368356228,2.683566809,2.887429237,0.970196009
cemiyyet,4,83.22465916,80.79430943,97.74748074,81.38707765,73.50326023,49.85180794,1.942543745,1.732888222,2.413340807,3.598334074,3.939320803,1.025013924
cemiyyet,5,99.55817378,99.9018164,99.85272459,71.28129602,53.85370643,38.92979872,3.978091002,3.816953182,3.85120368,2.050345898,0.964203119,0.843625069
cemiyyet,5,100,100,100,51.58613958,73.49926794,48.16983895,3.675377846,3.739078999,3.816540956,0.792267799,2.610922098,0.968252897
cemiyyet,5,99.24457035,98.96128423,99.33899906,67.42209632,75.21246459,37.48819641,3.742017746,3.748495102,4.115294218,2.679697037,4.872349977,0.694373131
cemiyyet,5,98.89958735,98.16597891,99.03713893,72.85648785,58.50527281,38.69784503,3.851985931,3.808372974,3.992718935,3.341485023,1.442946196,0.719143867
cemiyyet,6,96.90939881,97.88314987,99.15325995,62.82811177,80.18628281,50.88907705,5.097793102,4.656733751,4.925358057,2.00814414,6.298618793,1.35274291
cemiyyet,6,97.14973906,96.4271377,97.10959454,74.74909675,61.94299478,36.41107989,5.113690853,5.116883993,5.152938128,3.648296833,1.835235119,0.768777847
cemiyyet,6,99.12854031,97.29847495,98.8671024,56.20915033,70.06535948,46.0130719,4.836287975,4.973296881,4.73111105,2.114812851,1.793056011,1.029068947
cemiyyet,6,99.3660186,97.12595097,97.88672866,60.81994928,51.69061708,27.72612003,4.877674103,5.124841928,4.742899895,1.61073494,1.142505884,0.415410995
cemiyyet,7,90.04383219,99.77040284,89.93946984,58.985598,50.88707994,49.82258401,8.493911982,20.75731683,11.32522011,3.944220066,2.876690388,2.844995975
cemiyyet,7,97.62150982,97.67321613,92.81282316,68.66597725,44.3123061,35.4705274,8.126386881,8.056737185,4.548981428,2.496277094,0.699517012,0.960151911
cemiyyet,7,99.85416667,90.125,89.97916667,66.22916667,60.39583333,57.54166667,20.32189369,8.111939192,11.31381297,5.276805162,4.343164206,4.763664007
cemiyyet,7,88.73291467,85.11267085,88.54820835,67.67639453,52.53047654,30.99371999,11.29272413,4.547631025,11.2838769,3.986541986,1.281947851,0.915886164
cemiyyet,8,68.92531456,87.85640078,98.71868868,76.28996883,81.91157798,50.17892185,5.476495266,19.4265871,67.07091212,17.66692615,28.96235394,9.058784962
cemiyyet,8,90.94594595,90.40540541,91.35135135,58.24324324,46.62162162,32.7027027,5.480489016,1.597860813,5.512153149,0.596005917,0.268821001,0.282103777
cemiyyet,8,98.78144654,78.65566038,98.82075472,83.09748428,64.26886792,68.00314465,19.44222474,1.592967033,19.64155173,5.108945131,2.662057877,2.031897068
